latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
34.38431,-118.36127,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,311.7,18.1,0
34.38403,-118.35024,333,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,303.2,18.1,0
34.38354,-118.33186,322.6,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,296.1,7.7,0
34.38335,-118.32442,341.9,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,296.9,12,0
34.38376,-118.34013,314.6,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,297.4,7.7,0
34.37772,-118.37152,356.7,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,305.7,27.7,0
34.37746,-118.36158,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,314.4,18.1,0
34.37721,-118.35165,352.8,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,308.7,18.1,0
34.377,-118.34318,320.3,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,300.8,7.7,0
34.3768,-118.33549,327.3,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,300,7.7,0
34.37661,-118.32837,352.2,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,299.5,12,0
34.37642,-118.32111,367,0.65,0.73,2016-07-23,0842,N,VIIRS,h,1,299.7,12,0
34.43191,-118.3584,305.8,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,292.9,4.1,0
34.42474,-118.34907,345.9,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,295.7,4.1,0
34.42499,-118.3564,312.7,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,293.7,4.1,0
34.4178,-118.34648,333.9,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,296,4.6,0
34.41805,-118.35381,305.7,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,293.7,4.6,0
34.41089,-118.34453,326.8,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,295.2,4.6,0
34.41171,-118.36908,318.9,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,293.5,5.5,0
34.41068,-118.33796,314.2,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,294.5,6,0
34.40514,-118.37776,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,300.3,77.4,0
34.40481,-118.36775,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,323.4,62.9,0
34.40353,-118.32886,331.1,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,297.3,16.4,0
34.4055,-118.38863,307.6,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,294.1,77.4,0
34.40452,-118.35905,317.3,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,294.4,62.9,0
34.39824,-118.37648,346.8,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,301.8,77.4,0
34.39794,-118.36713,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,309.3,62.9,0
34.39766,-118.35866,336.8,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,303.6,62.9,0
34.39739,-118.35018,320.1,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,298.8,5,0
